Sujet,Bloc,Stim,Hits,FA,Miss,RC,RT,Similarity,m_ppo,m_td,m_iti,t_pi,T.Rate,t_td,m_density,Uncertainty
1,4,mask_ppo_64_td_006_target_fq_489_td_002_r_10,1,0,0,0,3407.0,40.0,64.0,0.06,1500.0,489.0,10.0,0.02,19.0,463.0
1,4,mask_ppo_64_td_01,0,0,0,1,0.0,,64.0,0.1,1500.0,,,,19.0,463.0
1,4,mask_ppo_64_td_01_target_fq_1000_td_002_r_5,1,0,0,0,2011.0,80.0,64.0,0.1,1500.0,1000.0,5.0,0.02,19.0,463.0
1,4,mask_ppo_64_td_01_target_fq_2045_td_002_r_10,1,0,0,0,2901.0,80.0,64.0,0.1,1500.0,2045.0,10.0,0.02,19.0,463.0
1,5,mask_ppo_16_td_002,0,0,0,1,0.0,,16.0,0.02,1500.0,,,,4.0,115.0
1,5,mask_ppo_16_td_002_target_fq_2045_td_002_r_20,1,0,0,0,1724.0,0.0,16.0,0.02,1500.0,2045.0,20.0,0.02,4.0,115.0
1,5,mask_ppo_16_td_002_target_fq_699_td_002_r_20,1,0,0,0,2490.0,0.0,16.0,0.02,1500.0,699.0,20.0,0.02,4.0,115.0
1,5,mask_ppo_16_td_004,0,1,0,0,2071.0,,16.0,0.04,1500.0,,,,5.0,115.0
1,5,mask_ppo_16_td_006,0,1,0,0,1182.0,,16.0,0.06,1500.0,,,,5.0,115.0
1,5,mask_ppo_16_td_006_target_fq_2045_td_002_r_5,1,0,0,0,2208.0,40.0,16.0,0.06,1500.0,2045.0,5.0,0.02,5.0,115.0
1,5,mask_ppo_16_td_006_target_fq_489_td_002_r_5,1,0,0,0,1429.0,40.0,16.0,0.06,1500.0,489.0,5.0,0.02,5.0,115.0
1,5,mask_ppo_16_td_006_target_fq_699_td_002_r_10,1,0,0,0,1233.0,40.0,16.0,0.06,1500.0,699.0,10.0,0.02,5.0,115.0
1,5,mask_ppo_16_td_01,0,1,0,0,2453.0,,16.0,0.1,1500.0,,,,5.0,115.0
1,5,mask_ppo_16_td_01_target_fq_1000_td_002_r_20,1,0,0,0,1552.0,80.0,16.0,0.1,1500.0,1000.0,20.0,0.02,5.0,115.0
1,5,mask_ppo_16_td_01_target_fq_2924_td_002_r_10,1,0,0,0,2802.0,80.0,16.0,0.1,1500.0,2924.0,10.0,0.02,5.0,115.0
1,5,mask_ppo_16_td_01_target_fq_489_td_002_r_10,0,0,1,0,0.0,80.0,16.0,0.1,1500.0,489.0,10.0,0.02,5.0,115.0
1,5,mask_ppo_4_td_002,0,1,0,0,1058.0,,4.0,0.02,1500.0,,,,1.0,29.0
1,5,mask_ppo_4_td_002_target_fq_1000_td_002_r_5,1,0,0,0,4139.0,0.0,4.0,0.02,1500.0,1000.0,5.0,0.02,1.0,29.0
1,5,mask_ppo_4_td_002_target_fq_1430_td_002_r_20,1,0,0,0,1278.0,0.0,4.0,0.02,1500.0,1430.0,20.0,0.02,1.0,29.0
1,5,mask_ppo_4_td_002_target_fq_2924_td_002_r_20,1,0,0,0,1389.0,0.0,4.0,0.02,1500.0,2924.0,20.0,0.02,1.0,29.0
1,5,mask_ppo_4_td_002_target_fq_489_td_002_r_5,1,0,0,0,1078.0,0.0,4.0,0.02,1500.0,489.0,5.0,0.02,1.0,29.0
1,5,mask_ppo_4_td_004,0,1,0,0,2425.0,,4.0,0.04,1500.0,,,,1.0,29.0
1,5,mask_ppo_4_td_006,0,1,0,0,1057.0,,4.0,0.06,1500.0,,,,1.0,29.0
1,5,mask_ppo_4_td_006_target_fq_2045_td_002_r_5,1,0,0,0,1101.0,40.0,4.0,0.06,1500.0,2045.0,5.0,0.02,1.0,29.0
1,5,mask_ppo_4_td_006_target_fq_699_td_002_r_20,1,0,0,0,3264.0,40.0,4.0,0.06,1500.0,699.0,20.0,0.02,1.0,29.0
1,5,mask_ppo_4_td_008,0,1,0,0,2100.0,,4.0,0.08,1500.0,,,,1.0,29.0
1,5,mask_ppo_4_td_01,0,1,0,0,1874.0,,4.0,0.1,1500.0,,,,1.0,29.0
1,5,mask_ppo_4_td_01_target_fq_1000_td_002_r_5,1,0,0,0,1069.0,80.0,4.0,0.1,1500.0,1000.0,5.0,0.02,1.0,29.0
